location_id,location_name,hab_lat,hab_lon,year_max,proxy_station_no,proxy_name,proxy_parameter,proxy_role,dist_km,join_keys,notes
374,Outer Bertragh Buoi,53.38459,-9.85832,2013,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,54.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
374,Outer Bertragh Buoi,53.38459,-9.85832,2013,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.41,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
633,Lehannagh Pool,53.4012,-9.8266,2020,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,37.19,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
633,Lehannagh Pool,53.4012,-9.8266,2020,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,53.23,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
633,Lehannagh Pool,53.4012,-9.8266,2020,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),38.74,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
622,Carraig Na Meachain,53.24988,-9.82501,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,34.47,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
622,Carraig Na Meachain,53.24988,-9.82501,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,51.22,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
622,Carraig Na Meachain,53.24988,-9.82501,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),47.91,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
400,Ardmore,53.3003,-9.76548,2015,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,30.53,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
400,Ardmore,53.3003,-9.76548,2015,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,47.31,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
400,Ardmore,53.3003,-9.76548,2015,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.23,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
401,Birbeg,53.28058,-9.77923,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,31.32,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
401,Birbeg,53.28058,-9.77923,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,48.12,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
401,Birbeg,53.28058,-9.77923,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),43.36,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
416,Birmore,53.273,-9.785,2007,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,31.7,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
416,Birmore,53.273,-9.785,2007,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,48.5,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
416,Birmore,53.273,-9.785,2007,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),44.21,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
176,Illauneragh,53.27833,-9.74806,2005,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,29.24,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
176,Illauneragh,53.27833,-9.74806,2005,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,46.05,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
176,Illauneragh,53.27833,-9.74806,2005,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),42.0,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
396,Oilean Iarthach,53.28818,-9.73658,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,28.51,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
396,Oilean Iarthach,53.28818,-9.73658,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,45.32,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
396,Oilean Iarthach,53.28818,-9.73658,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),40.7,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
399,Red Flag,53.23706,-9.78851,2010,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,32.21,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
399,Red Flag,53.23706,-9.78851,2010,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,48.89,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
399,Red Flag,53.23706,-9.78851,2010,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),47.14,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
398,Danoish,53.26618,-9.74297,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,28.92,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
398,Danoish,53.26618,-9.74297,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,45.71,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
398,Danoish,53.26618,-9.74297,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),42.71,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
393,Golam,53.23728,-9.7546,2015,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,29.97,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
393,Golam,53.23728,-9.7546,2015,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,46.64,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
393,Golam,53.23728,-9.7546,2015,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),45.57,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
395,Lettercallow,53.29162,-9.70244,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,26.27,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
395,Lettercallow,53.29162,-9.70244,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,43.07,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
395,Lettercallow,53.29162,-9.70244,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),38.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
394,Cnoc,53.27041,-9.71382,2009,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,26.97,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
394,Cnoc,53.27041,-9.71382,2009,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,43.77,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
394,Cnoc,53.27041,-9.71382,2009,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.03,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
397,Casheen,53.25299,-9.72885,2010,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,28.07,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
397,Casheen,53.25299,-9.72885,2010,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,44.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
397,Casheen,53.25299,-9.72885,2010,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),43.13,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
177,Mannin,53.45944,-10.07,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,54.57,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
177,Mannin,53.45944,-10.07,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,70.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
177,Mannin,53.45944,-10.07,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),52.42,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
169,Ardbear,53.47194,-10.03472,2020,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,52.96,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
169,Ardbear,53.47194,-10.03472,2020,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,68.72,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
169,Ardbear,53.47194,-10.03472,2020,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),49.89,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
378,Ardbear Bay,53.47666,-10.04955,2012,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,54.07,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
378,Ardbear Bay,53.47666,-10.04955,2012,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,69.82,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
378,Ardbear Bay,53.47666,-10.04955,2012,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),50.78,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
405,Curhounagh,53.46496,-10.08594,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,55.78,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
405,Curhounagh,53.46496,-10.08594,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,71.71,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
405,Curhounagh,53.46496,-10.08594,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),53.36,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
629,Aster Quay,53.47885,-10.05595,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,54.56,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
629,Aster Quay,53.47885,-10.05595,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,70.3,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
629,Aster Quay,53.47885,-10.05595,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),51.17,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
391,Annaghbhan,53.31887,-9.64703,2009,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,23.05,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
391,Annaghbhan,53.31887,-9.64703,2009,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,39.68,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
391,Annaghbhan,53.31887,-9.64703,2009,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),34.06,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
392,The Gurrig,53.319,-9.647,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,23.05,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
392,The Gurrig,53.319,-9.647,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,39.68,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
392,The Gurrig,53.319,-9.647,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),34.05,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
379,Hawks Nest,53.48499,-10.06718,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,55.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
379,Hawks Nest,53.48499,-10.06718,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,71.23,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
379,Hawks Nest,53.48499,-10.06718,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),51.82,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
380,Carraroe,53.26174,-9.63121,2010,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,21.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
380,Carraroe,53.26174,-9.63121,2010,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,38.29,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
380,Carraroe,53.26174,-9.63121,2010,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),38.25,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
382,Cuigeal,53.26174,-9.63121,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,21.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
382,Cuigeal,53.26174,-9.63121,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,38.29,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
382,Cuigeal,53.26174,-9.63121,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),38.25,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
179,Gubbaros,53.50917,-10.07139,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,56.94,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
179,Gubbaros,53.50917,-10.07139,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,72.42,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
179,Gubbaros,53.50917,-10.07139,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),51.84,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
174,Rosmuc,53.33194,-9.59861,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,20.33,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
174,Rosmuc,53.33194,-9.59861,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,36.73,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
174,Rosmuc,53.33194,-9.59861,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),30.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
650,Cliffden Outer,53.4915,-10.13339,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,59.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
650,Cliffden Outer,53.4915,-10.13339,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,75.61,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
650,Cliffden Outer,53.4915,-10.13339,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),56.09,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
381,Kerraun Pt.,53.22493,-9.6132,2003,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,21.02,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
381,Kerraun Pt.,53.22493,-9.6132,2003,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,37.43,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
381,Kerraun Pt.,53.22493,-9.6132,2003,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),40.98,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
163,Ballynakill,53.57167,-9.99722,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,56.36,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
163,Ballynakill,53.57167,-9.99722,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,70.84,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
163,Ballynakill,53.57167,-9.99722,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),46.94,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
367,Ballinakill,53.57167,-9.99722,2013,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,56.36,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
367,Ballinakill,53.57167,-9.99722,2013,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,70.84,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
367,Ballinakill,53.57167,-9.99722,2013,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),46.94,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
366,Fraochoilean,53.575,-10.03503,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,58.62,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
366,Fraochoilean,53.575,-10.03503,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,73.22,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
366,Fraochoilean,53.575,-10.03503,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),49.46,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
825,Cleggan,53.56308,-10.10933,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,62.04,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
825,Cleggan,53.56308,-10.10933,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,77.06,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
825,Cleggan,53.56308,-10.10933,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),54.28,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
171,Killary Harbour Inner,53.6,-9.75528,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,46.77,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
171,Killary Harbour Inner,53.6,-9.75528,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,59.11,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
171,Killary Harbour Inner,53.6,-9.75528,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),31.55,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
172,Killary Harbour Middle,53.60389,-9.80278,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,49.15,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
172,Killary Harbour Middle,53.60389,-9.80278,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,61.87,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
172,Killary Harbour Middle,53.60389,-9.80278,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),34.71,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
403,Inishdeighil,53.60768,-9.90281,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,54.08,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
403,Inishdeighil,53.60768,-9.90281,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,67.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
403,Inishdeighil,53.60768,-9.90281,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.27,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
517,Killary Hbr Control,53.60768,-9.90281,2008,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,54.08,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
517,Killary Hbr Control,53.60768,-9.90281,2008,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,67.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
517,Killary Hbr Control,53.60768,-9.90281,2008,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.27,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
175,Killary Harbour Outer,53.61472,-9.83306,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,51.38,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
175,Killary Harbour Outer,53.61472,-9.83306,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,64.19,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
175,Killary Harbour Outer,53.61472,-9.83306,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),36.92,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
402,Rosroe,53.624,-9.86386,2013,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,53.53,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
402,Rosroe,53.624,-9.86386,2013,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,66.44,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
402,Rosroe,53.624,-9.86386,2013,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),39.13,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
417,Rosroe Inner Cage Site,53.624,-9.864,2013,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,53.53,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
417,Rosroe Inner Cage Site,53.624,-9.864,2013,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,66.45,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
417,Rosroe Inner Cage Site,53.624,-9.864,2013,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),39.14,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
702,Killary Approaches,53.6334,-9.87963,2026,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,55.0,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
702,Killary Approaches,53.6334,-9.87963,2026,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,67.89,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
702,Killary Approaches,53.6334,-9.87963,2026,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),40.4,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
601,Killary Outer Mouth,53.635,-9.887,2021,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,55.46,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
601,Killary Outer Mouth,53.635,-9.887,2021,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,68.39,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
601,Killary Outer Mouth,53.635,-9.887,2021,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),40.92,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
656,Inishbofin,53.605,-10.1069,2012,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,64.42,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
656,Inishbofin,53.605,-10.1069,2012,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,78.97,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
656,Inishbofin,53.605,-10.1069,2012,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),54.52,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
