grower_label,site_key,location_id,location_name,iso_year,iso_week,week_start,week_label,risk_score,clim_score,risk_vs_clim,risk_band,risk_plain,count_dinophysis,y_dinophysis,y_dinophysis_nowcast,dsp_closure_risk,sst,status,role,split
Killary Outer,killary_outer,175,Killary Harbour Outer,2026,31,2026-07-27,2026-W31,0.1016260162601626,0.29878048780487804,-0.19715447154471544,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,15.57,active,nmp_core,test
Killary Inner,killary_inner,171,Killary Harbour Inner,2026,30,2026-07-20,2026-W30,0.1491442542787286,0.3357348703170029,-0.1865906160382743,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,40.0,0,0,,15.5,active,nmp_core,test
Killary Middle,killary_middle,172,Killary Harbour Middle,2026,30,2026-07-20,2026-W30,0.16129032258064516,0.3357348703170029,-0.17444454773635773,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,15.5,active,nmp_core,test
Mannin,mannin,177,Mannin,2026,30,2026-07-20,2026-W30,0.38565022421524664,0.3357348703170029,0.04991535389824375,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,16.16,active,nmp_core,test
Killary Middle,killary_middle,172,Killary Harbour Middle,2026,29,2026-07-13,2026-W29,0.1491442542787286,0.32905982905982906,-0.17991557478110046,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,16.29,active,nmp_core,test
Killary Inner,killary_inner,171,Killary Harbour Inner,2026,28,2026-07-06,2026-W28,0.1016260162601626,0.33476394849785407,-0.23313793223769147,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,15.69,active,nmp_core,test
Killary Middle,killary_middle,172,Killary Harbour Middle,2026,28,2026-07-06,2026-W28,0.1491442542787286,0.33476394849785407,-0.18561969421912547,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,15.69,active,nmp_core,test
Killary Inner,killary_inner,171,Killary Harbour Inner,2026,27,2026-06-29,2026-W27,0.26905829596412556,0.36623748211731044,-0.09717918615318488,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,40.0,0,0,,14.79,active,nmp_core,test
Rosmuc,rosmuc,174,Rosmuc,2026,24,2026-06-08,2026-W24,0.1016260162601626,0.34532374100719426,-0.24369772474703166,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,,active_oisst_gap,nmp_core,test
Rosmuc,rosmuc,174,Rosmuc,2026,23,2026-06-01,2026-W23,0.0673758865248227,0.29337539432176657,-0.2259995077969439,Lower,"Lower watch — below typical risk for this week-of-year, or quiet conditions. Still follow official notices.",0.0,0,0,,,active_oisst_gap,nmp_core,test
Killary Inner,killary_inner,171,Killary Harbour Inner,2026,3,2026-01-12,2026-W03,0.0,0.0,0.0,Lower,"Lower watch — below typical risk for this week-of-year, or quiet conditions. Still follow official notices.",0.0,0,0,0.052845528455284556,8.91,active,nmp_core,test
